idx,female_name
311,palak
312,astha
313,fahija
314,reeta
315,noojo
316,chaya
317,vandana
318,pooja
319,mamta
320,kiran
321,sakila
322,rehana
323,mamta
324,jyoti
325,radha
326,kumari
327,neha
328,geeta
329,mira
330,smt.
331,neha
332,manisha
333,priti
334,swati
335,seema
336,roshini
337,neha
338,anjali
339,afsana
340,shilpa
341,sudha
342,afrin
343,sabnam
344,batloon
345,monika
346,anjum
347,smt
348,priti
349,yogita
350,mohini
351,samsad
352,sama
353,kusum
354,maya
355,jassi
356,raj
357,arti
358,priyanka
359,priya
360,maya
361,yashoda
362,susila
363,kajal
364,kumari
365,ramaiya
366,kamli
367,munbura
368,laxmi
369,bulbul
370,radha
371,rajni
372,rupa
373,kumkum
374,ruksana
375,priyanka
376,nisha
377,kiran
378,sweety
379,gulafsa
380,pooja
381,pooja
382,pooja
383,priyanka
384,captain
385,aarti
386,kumari
387,rekha
388,aarti
389,akansha
390,kritika@kittu
391,sefali
392,khshbu
393,heena
394,sangeeta
395,sunaki
396,paramjeet
397,sangeet
398,shalu
399,neelima
400,deepti
401,rajkumari
402,pooja
403,heena
404,meena
405,rizwana
406,madhuri
407,gulnanj
408,pinki
409,rajni
410,archana
411,rajni
412,radha
413,rinki
414,dipti
415,kiran
416,araddhna
417,bharti
418,ku
419,meena
420,payal
421,divya
422,laxmi
423,babli
424,muskan
425,neha
426,rekha
427,badrunisha
428,neelam
429,poonam
430,kanchan
431,pinki
432,varsa
433,shukla
434,ekta
435,pooja
436,asha
437,simran
438,minakshi
439,nasima
440,rajesh
441,madhuri
442,kajal
443,juneb
444,parerna
445,alka
446,manju
447,anita
448,gungun
449,neelam
450,monika
451,sonia
452,muskan
453,priynka
454,smt.kiswar
455,muskan
456,vandhna
457,kanchan
458,santosh
459,munni
460,smt.
461,saneha
462,hemlata
463,monika
464,neha
465,reema
466,kumari
467,raj
468,yashika
469,aarti
470,tapsam
471,sapna
472,khusboo
473,ishika
474,partibha
475,narbada
476,kumari
477,anita
478,rinku
479,pooja
480,sandhya
481,renu
482,deepika
483,kanchan
484,spana
485,sapna
486,rita
487,manju
488,reshma
489,samaiali
490,heena
491,manju
492,priyanka
493,samreen
494,himanshi
495,mamta
496,reena
497,pankaj
498,roshan
499,gul
500,shana
501,nagma
502,usha
503,mamta
504,tanuja
505,rishu
506,gunjan
507,noor
509,varsha
510,anjali
511,khusbhu
512,khusbhu
513,reshma
514,sushma
515,lakhi
516,nayana
517,nirmal
518,bhawana
519,preeti
520,reema
521,jamrujaha
522,anju
523,puja
524,durga
525,ruchi
526,aruna
527,chanchal
528,chama
529,deepa
530,poonam
531,poonam
532,gulafsa
533,manisha
534,babita
535,seema
536,smt
537,khushbu
538,sunaina
539,gulista
540,kumari
541,priya
542,manisha
543,khushbu
544,komal
545,vandana
546,jyoti
547,payal
548,kesnata
549,matul
550,nainshi
551,mubshshira
552,sona
553,neeru
554,poornima
555,km.
556,sunita
557,laxmi
558,shayra
559,neelam
560,priya
561,sashi
562,himani
563,sazi
564,rashida
565,radhika
567,ruzina
568,kajol
569,manisha
570,jyoti
571,rukmani
572,radhika
573,shabana
574,geeta
575,sarita
576,poonam
577,neelu
578,rangeeta
579,shahnawaj
580,rimpy
581,rekha
582,saroj
583,seema
584,kumari
585,chumki
586,pooja
587,jyoti
588,virjiniya
589,laxmi
590,gulfasha
591,nirmla
592,kavita
593,saanu
594,smt
595,divya
596,varsha
597,nisha
598,apsana
599,heena
600,priti
601,bharkah
602,deepali
603,heena
604,priyanka
606,muskan
607,mudsay
608,rubbi
609,nagma
610,ruksar
611,komal
612,smt.
613,alka
614,smt.
615,ruby
616,kusuma
617,himanshi
618,smt.
619,sumnesh
620,neha
621,heena
622,shivani
623,reena
624,lali
625,zareena
626,minakshi
627,aarti
628,karishma
629,swati
630,mamta
631,priyanka
632,seema
633,preeti
634,usha
635,jasoda
636,poonam
637,shathi
638,nimla
639,menadevi
640,sut.
641,sameem
642,shrishti
643,bharti
644,jyoty
645,gudya
646,sunita
647,meena
648,pooja
649,laxami
650,meghana
651,kangana
652,garima
653,nandni
654,lalita
655,nazrin
656,saraswati
657,bhatri
658,rakhi
659,mobsheera
660,pooja
661,montu
662,montu
663,kajal
664,pinki
665,madhu
666,mudrika
667,radhika
668,madhu
669,devi
670,shivani
671,muskan
672,poonam
673,sonia
674,gytri
675,shashi
676,suganti
677,swati
678,laxmi
679,nekki
680,rajni
681,poonam
682,khushi
683,kureja
684,anupama
685,anupama
686,sheetal
687,rekha
688,deepika
689,gyatri
690,raj
691,ridhima
692,rekha
693,nisha
694,naseeba
695,isha
696,shivani
697,jeenat
698,ruksana
699,soniya
700,sarita
701,biwa
702,gayatri
703,ridhima
704,sunita
705,komal
706,kanchan
707,megha
708,neni
709,sangeeta
710,surjeet
711,tina
712,swati
713,nisha
715,shivani
716,parwati
717,anjali
718,kanta
719,priyanka
720,prema
721,maya
722,sajida
723,disha
724,geeta
725,minakxi
726,munni
727,smt.
728,nisha
729,pooja
730,ranjeeta
731,smt.
732,anam
733,vibha
734,roshan
735,krishna
736,asha
737,resham
738,pavitra
739,manpreet
740,rekha
741,bigan
742,lalita
743,razia
744,pushpa
745,aman
746,aman
747,indra
748,devi
749,neha
750,sunita
751,neetu
752,manju
753,parul
754,mansi
755,sabbo
756,bimlesh
757,chhabi
758,rubi
759,pooja
760,anshu
761,bindiya
762,manisha
763,rajni
764,pooja
765,santosh
766,seema
767,seema
768,tara
769,sarojini
770,phulkana
771,kiran
772,sapna
773,krishka
774,ilema
775,sonam
776,khushi
777,sahar
778,sahiba
779,rita
780,pinki
781,nisha
782,chandni
783,chandni
784,himanshi
785,sunita
786,akansha
787,gayatri
788,pooja
789,nisha
790,bimla
791,rada
792,maya
793,rahina
794,parvesh
795,manorma
796,sapna
797,neha
798,kirti
799,alam
800,priti
801,suman
802,kum
803,tamsa
804,hoor
805,bhawana
806,sunita
807,sangeeta
808,sangeeta
809,harneet
810,harneet
811,roshani
812,radha
813,deepa
814,mansi
815,jyoti
816,pooja
817,sarita
818,laxmi
819,vimla
820,preeti
821,sukhbir
822,seema
823,saveta
824,rakhi
825,rani
826,kafia
827,minakshi
828,smt
829,shabana
830,madhu
831,rubby
832,ankita
833,meera
834,manisha
835,chand
836,kinya
837,pooja
838,shikha
839,kajal
840,priti
841,kanika
842,pallavi
843,sakshi
844,asgari
845,mumtaz
846,ruksar
847,kavita
848,sunita
849,anupam
850,karishma
851,parniti
852,ruksar
853,pappy
854,raziya
855,payal
856,neeru
857,anita
858,mohini
859,diksha
860,jamila
861,preeti
862,sabhana
863,durgash
864,smt
865,rupa
866,km
867,ankita
868,seema
869,namarta
870,guddi
871,phoolmani
872,yogita
873,shiwani
874,parveen
875,kajal
876,saroj
877,anju
878,jyoti
879,renu
880,seema
881,naseem
882,hemraj
883,sonia
884,pushpa
885,ramwati
886,imrana
887,vaishali
888,jasoda
889,kripya
890,pushpa
891,chanchal
892,sonam
893,savita
894,rashika
895,priti
896,chanchal
897,poonam
898,priyanka
899,bilke
900,sarita
901,kajal
902,punam
903,krishna@manisha
904,kavita
905,madhu
906,kulli
907,kali
908,komal
909,kumari
910,chotti
911,sivani
912,monika
913,shamima
914,smt.
915,rama
916,jyoti
917,ranju
918,sunali
919,zahira
920,purnima
921,ruksar
922,kajal
923,suman
924,anshul
925,nisha
926,anjli
927,himansi
928,reeta
929,manisha
930,neelam
931,dharmshila
932,hemani
933,mamta
934,shivani
935,sunder
936,sunder
937,santosh
938,smt.
939,sangeeta
940,pooja
941,reena
942,ranjita
943,sareen
944,sonali
945,soni
946,gyan
947,seema
948,preeti
949,neelam
950,neetu
951,vinod
952,meena
953,mamuni
954,raja
955,neha
956,jyoti
957,paramjeet
958,padma
959,puja
960,anjali
961,jaya
962,mamta
963,aarti
964,anjali
965,vaishali
966,savita
967,poonam
968,komal
969,madam
970,laxmi
971,jeta
972,naveena
973,anu
974,pooja
975,padma
976,puja
977,poonam
978,vinod
979,ram
980,kali
981,sumitra
982,anju
983,minakshi
984,komal
985,roshni
986,pooja
987,subhdra
988,shallu
989,rinku
990,ahsamin
991,vandna
992,janki
993,sweety
995,ku.
996,kiran
997,kanti
998,maya
999,labbhi
1000,shabnam
1001,bhawana
1002,kamlesh
1003,kumari
1004,smt
1005,neha
1006,deepa
1007,jyoti
1008,harpreet
1009,gauri
1010,asha
1011,kavita
1012,meena
1013,muskhan
1014,arti
1015,annu
1016,neetu
1017,sangeeta
1018,kusum
1019,smt
1020,santoshi
1021,vinod
1022,nurbi
1023,anil
1024,ramli
1025,sunita
1026,beauty
1027,sarvesh
1028,poonam
1029,praveena
1030,reetu
1031,lalita
1032,munnadevi
1033,smt
1034,rekha
1035,sabina
1036,kanchan
1037,mayuri
1038,aarti
1039,jyoti
1040,suman
1041,maheshar
1042,sushma
1043,pinki
1044,sukenta
1045,sanjana
1046,versha
1047,reetu
1048,soni
1049,geeta
1050,suman
1051,maya
1052,muskan
1053,rozi
1054,sheetal
1055,manju
1056,aarti
1057,jyoti
1058,sajia
1059,shivani
1060,babita
1061,kiran
1062,deepa
1063,shaving
1064,komal
1065,smt
1066,monika
1067,saroj
1068,bitoo
1069,genda
1070,hemlata
1071,priyanka
1072,priyanka
1073,vidhya
1074,smt
1075,jyoti
1076,aditya
1077,smt.
1078,gajala
1079,kanta
1080,ravinder
1081,rukhsar
1082,manpreet
1083,rehana
1084,babli
1085,komal
1086,ritika
1087,ritu
1088,meena
1089,kiran
1090,rakhi
1091,anita
1092,bhuri
1093,renu
1094,mamta
1095,preeti
1096,pooja
1097,amiraka
1099,malvika
1100,priti
1101,seema
1102,chanchal
1103,gotiya
1104,lalita
1105,pooja
1106,shveta
1108,reeta
1109,kavita
1110,yasmin
1111,nirvat
1112,monika
1113,pooja
1114,pooja
1115,divya
1116,aaysha
1117,preeti
1118,reena
1119,shikha
1120,manisha
1121,sunita
1122,shahna
1123,dhapu
1124,anjali
1125,mausam
1126,jyoti
1127,neha
1128,varsha
1129,sarita
1130,priya
1131,ridhima
1132,naraini
1133,poonam
1134,sapna
1135,sunita
1136,smt
1137,smt.
1138,chinki
1139,naryani
1140,sita
1141,jyoti
1142,geeta
1143,rachna
1144,jagrti
1145,niti
1146,rekha
1147,manisha
1148,aarti
1149,kajol
1150,neelam
1151,pinky
1152,pinki
1153,tarun
1154,pooja
1155,km0
1156,sumirta
1157,laxami
1158,anjila
1159,smt.
1160,mamta
1161,priyanka
1162,renuka
1163,anita
1164,kajal
1165,rajeshwari
1166,savina
1167,sapna
1168,shaifali
1169,ekta
1170,poonam
1171,sunita
1172,tanya
1173,beauty
1174,aayana
1175,ranjana
1176,anju
1177,shabina
1178,dipika
1179,urmila
1180,komal
1181,jyoti
1182,smt
1183,doli
1184,ruksana
1185,arti
1186,dimple
1187,khusbhu
1188,soni
1189,himansi
1190,sobha
1191,nasim
1192,shaifali
1193,smt.
1194,sangeeta
1195,farhana
1196,santok
1197,kajal
1198,bhawana
1199,rekha
1200,anuradha
1201,aaradhana
1202,harshita
1203,laxmi
1204,nabila
1205,kavita
1206,reshma
1207,mamta@lalita
1208,shakuntala
1209,santosh
1210,sony
1211,bobi
1212,aradhana
1213,baby
1214,seema
1215,nisha
1216,nisha
1217,anuradha
1218,miss
1219,miss
1220,indra
1221,smt.
1222,anuradha
1223,parvesh
1224,poonam
1225,marya
1226,laxmi
1227,rojmen
1228,komal
1229,neha
1230,sugna
1231,radikha
1232,meeta
1233,anuradha
1234,minakshi
1235,manpreet
1236,saniya
1237,savitri
1238,farheen
1239,naina
1240,shanichari
1241,komal
1242,monika
1243,sangeeta
1244,suman
1245,neha
1246,priyanka
1247,kumari
1248,manisha
1249,krishna
1250,iqrar
1251,gali
1252,nisha
1253,reena
1254,tanvi
1255,divya
1256,hema
1257,neelam
1258,koshal
1259,sunita
1260,radha
1261,babita
1262,komal
1263,haseena
1264,rajkumari
1265,mamita
1266,payal
1267,soniya
1268,meenakshi
1269,neetu
1270,tapsya
1271,pooja
1272,mrs.
1273,rekha
1274,anjali
1275,supriya
1276,pinki
1277,smt
1278,muskan
1279,gayatri
1280,ashanjali
1281,pooja
1282,marjina
1283,poonam
1284,richa
1285,rizwana
1286,salmakhatun
1287,beera
1288,nargis
1289,malti
1290,rubi
1291,seema
1292,pooja
1293,ramdulari
1294,sheela
1295,preeti
1296,jyoti
1297,kumari
1298,usha
1299,gauri
1300,preeti
1301,preeti
1302,gajala
1303,ruksana
1304,ranjana
1305,jayanti
1306,neha
1307,nashrin
1308,sagita@harsita
1309,hyatun
1310,himani
1311,arti
1312,ms
1313,ms.
1314,manisha
1315,anita
1316,sunita
1317,suman
1318,firida
1319,neha
1320,salma
1321,maya
1322,disha
1323,rajwati
1324,manju
1325,priyak
1326,tuba
1327,rekha
1328,smt
1329,radhabai
1330,renu
1331,pooja
1332,ramila
1333,najma
1334,najma
1335,sunita
1336,muskan
1337,noor
1338,sunita
1339,sunita
1340,sunita
1341,sunita
1342,payal
1343,devender
1344,rekha
1345,shusila
1346,ameera
1347,kavita
1348,sona
1349,neelam
1350,pooja
1351,vinita
1352,pooja
1353,pooja
1354,mahadevi
1355,veenita
1356,poonam
1357,atta
1358,shivani
1359,dhola
1360,vijeta
1361,ku
1362,sangeeta
1363,kajal
1364,gudiya
1365,sajiya
1366,mooli
1367,paryanka
1368,rekha
1369,jyoti
1370,laxmi
1371,shanti
1372,nikita
1373,naveela
1374,sundga
1375,farzana
1376,mona
1377,gulnaj
1378,meena
1379,shahin
1380,kiran
1381,anita
1382,amrita
1383,marjina
1384,kamana
1385,ram
1386,chaya
1387,shanti
1388,babita
1389,komal
1390,yukilal
1391,urmila
1392,lalita
1393,smt
1394,shahin
1395,reena
1396,madhu
1397,miss
1398,aasha
1399,chandni
1400,rozi
1401,shanti
1402,joyti
1403,priyanka
1404,renu
1405,krishna
1406,w/o
1407,chander
1408,sushmita
1410,muskan
1411,paka
1412,sanju
1413,savitri
1414,muskan
1415,prinka
1416,parveen
1417,babita
1418,pinki
1419,rajni
1420,shipra
1421,km0
1422,sony
1423,mamta
1424,mamta
1425,sama
1426,jyoti
1427,aafrin
1428,gyaan
1429,sharda
1430,muskan
1431,manisha
1432,jyoti
1433,aarti
1434,manisha
1435,komal
1436,deepa
1437,versa
1438,huma
1439,aarti
1440,meena
1441,anjara
1442,sarla
1443,meera
1444,masuma
1445,poonam
1446,jinat
1447,sonali
1448,shivani
1449,deepika
1450,nisha
1451,pushpa
1452,urmila
1453,sunita
1454,ravina
1455,shivani
1456,sandhya
1457,smt.
1458,jyoti
1459,smt
1460,kumari
1461,shabana
1462,diksha
1463,chameli
1464,anam
1465,preeti
1466,madhu
1467,chanda
1468,payal
1469,rashi
1470,yogeshwari
1471,sweta
1472,sonu
1473,santi
1474,maya
1475,nisha
1476,nisha
1477,rakhi
1478,sweeti
1479,shital
1480,nosi
1481,nosi
1482,pinky
1483,geeta
1484,rita
1485,safila
1486,robi
1487,kamlesh
1488,pratibha
1489,aashi
1490,suman
1491,ladli
1492,partibha
1493,mangubai
1494,reena
1495,kusum
1496,rukhsar
1497,anita
1498,sabiya
1499,devi
1500,raj
1501,reena
1502,sapna
1503,aarti
1504,harshita
1505,simran
1506,komal
1507,ravina
1508,kamlesh
1509,shanti
1510,simmy
1511,rakhi
1512,ku.
1513,tulsi
1514,smt.
1515,meenakshi
1516,rekha
1517,poonam
1518,anita
1519,ekta
1520,bharti
1521,maya
1522,rubi
1523,shanti
1524,chanda
1525,anjali
1526,neha
1527,kiran
1528,smt.sushil
1530,anjli
1531,rekha
1532,babita
1533,chandra
1534,yogita
1535,khusbu
1536,sonali
1537,urmila
1538,laxmi
1539,neeru
1540,manju
1541,kiran
1542,smt
1543,maya
1544,shalu
1545,asha
1546,ganga
1547,ashwani
1548,bhumika
1549,parveen
1550,asharani
1551,arsi
1552,mamta
1553,gauri
1554,gayatri
1555,munna
1556,sonia
1557,seeta
1558,deepa
1559,sarita
1560,mamta
1561,mansi
1562,ramesh
1563,kanku
1564,varisha
1565,payal
1566,kavita
1567,bindu
1568,anita
1569,bhawna
1570,suman
1571,bindu
1572,vandita
1573,niru
1574,jagviri
1575,pushpa
1576,sangeeta
1577,sanju
1578,bhuri
1579,samreen
1580,saveena
1581,ramkali
1582,bindu
1583,manisha
1584,mona
1585,savita
1586,tarannum
1587,smariti
1588,savitri
1589,mamta
1590,roshni
1591,pooja
1592,tahira
1593,rubo
1594,pooja
1595,dulari
1596,monika
1597,kali
1598,nand
1599,rashmi
1600,sayara
1601,kiran
1602,pooja
1603,tyara
1604,sudama
1605,sushila
1606,gyarsi
1607,sonia
1608,seema
1609,neha
1610,bala
1611,julekha
1612,suman
1613,urvarshi
1614,renu
1615,kalpna
1616,nagma
1617,aarti
1618,geetu
1619,nandani
1620,bahalen
1621,priya
1622,rashmi
1623,bhavana
1624,sangeeta
1625,abida
1626,anju
1627,kumkum
1628,kajal
1629,jyoti
1630,anju
1631,renu
1632,manoj
1633,guni
1634,asha
1635,kali
1636,nazreen
1637,rajni
1638,rajni
1639,rinki
1640,sameena
1641,nirmala
1642,ankita
1643,smt.
1644,shima
1645,smt
1646,smt
1647,sonu
1648,saaniya
1649,pratibha
1650,dixya
1651,sapna
1652,raminder
1653,monika
1654,aaysha
1655,sikha
1656,kajal
1657,ragni
1658,rachna
1659,gurpreet
1660,nena
1661,bimla
1662,aaysha
1663,anju
1664,gaytri
1665,rani
1666,preeti
1667,shiwani
1668,kusum
1669,rita
1670,radha
1671,manju
1672,deepanshi
1673,narbda
1674,neetu
1675,ganga
1676,mamta
1677,asmit
1678,kumari
1679,pinki
1680,preti
1681,priti
1682,puja
1683,kanta
1684,sima
1685,eshavarya
1686,komal
1687,bhawna
1688,sapna
1689,anarkali
1690,rajni
1691,sunita
1692,manlisa
1693,afarin
1694,bhagya
1695,komal
1696,afsana
1697,alema
1698,kajal
1699,sudha
1700,risabh
1701,bhumika
1702,babita
1703,paro
1704,pinky
1705,ritu
1706,sapana
1707,chandra
1708,muskan
1709,bhawana
1710,shivani
1711,ambika
1712,monika
1713,yashmin
1714,rachna
1715,heena
1716,lalita
1717,bhagwati
1718,reena
1719,manisha
1720,kusum
1721,sumalia
1722,soniya
1723,reetima
1724,dharma
1725,manju
1726,shanti
1727,neha
1728,sunita
1729,mamta
1730,sangeeta
1731,anju
1732,joyti
1733,hadisha
1734,suhani
1735,meenu
1736,pooja
1737,deepika
1738,sangeeta
1739,rupa
1740,barti
1741,poonam
1742,onginye
1743,vimla
1744,reenu
1745,yashoda
1746,kumari
1747,anju
1748,sharda
1749,nazahat
1750,neelam
1751,smt.
1752,asha
1753,nency
1754,chanderkala
1755,mamta
1756,kawal
1757,lad
1758,bhawna
1759,farzana
1760,sarika
1761,gudiya
1762,smt
1763,durgesh
1764,jyoti
1765,sanna
1766,vineta
1767,varsha
1768,muskan
1769,sonam
1770,anita
1771,vinita
1772,kishmat
1773,sunita
1774,smt
1775,komal
1776,vimla
1777,anjali
1778,tamnna
1779,kiran
1780,nishu
1781,bharti
1782,lakshmi
1783,shilpa
1784,laxmi
1785,sarita
1786,ishika
1787,priya
1788,barkha
1789,kajal
1790,gulshtab
1791,suchitra
1792,saira
1793,durga
1794,rajkumari
1795,geeta
1796,pooja
1797,kajal
1798,nikky
1799,smt
1800,sabana
1801,pooja
1802,dhakhadevi
1803,smt.
1804,rakhi
1805,ambiya
1806,jyoti
1807,premwati
1808,premwati
1809,pooja
1810,pinki
1811,nisha
1812,miss
1813,nargis
1814,preeti
1815,aarti
1816,kajal
1817,deepali
1818,sushila
1819,ranjana
1820,k
1821,sonali
1822,amuda
1823,shakeena
1824,khairu
1825,sushila
1826,mamata
1827,renu
1828,pinki
1829,resham
1830,kumari
1831,kanchan
1832,sonaki
1833,shila
1834,smt.
1835,smt.
1836,sudama
1837,pooga
1838,alahbasri
1839,ajmeri
1840,jyoti
1841,preeti
1842,krishana
1843,anita
1844,arti
1845,sangeeta
1846,karamjeet
1847,rajkumari
1848,smt
1849,ku
1850,hina
1851,suman
1852,kajal
1853,shivani
1854,samreen
1855,deepika
1856,varsha
1857,gaytri
1858,suman
1859,partibha
1860,renu
1861,sashi
1862,rajshree
1863,sitra
1864,laxmi
1865,kumkum
1866,sano
1867,aditi
1868,similata
1869,sadhna
1870,rekha
1871,jyoti
1872,raveena
1873,fareena
1874,farina
1875,roshni
1876,beena
1877,sumentra
1878,kumari
1879,manju
1880,nanda
1881,soniya
1882,durga
1883,mukti
1884,manju
1885,poga
1886,gulsana
1887,annu
1888,manjeet
1889,bhatari
1890,rubi
1891,soni
1892,monika
1893,niranjan
1894,arti
1895,shahnaz
1896,deepti
1897,arati
1898,nikita
1899,suman
1900,pooja
1901,reena
1902,shikha
1903,soniya
1904,shiwani
1905,madhu
1906,komal
1907,sunita
1908,roshan
1909,neha
1910,neha
1911,yashika
1912,roshanara
1913,rinku
1914,meenu
1915,nasim
1916,smt.
1917,pushpa
1918,shiba
1919,pavi
1920,sunita
1921,varsha
1922,sheela
1923,anjali
1924,gulfsa
1925,mona
1926,kherul
1927,hina
1928,jyoti
1929,pooja
1930,rozi
1931,suman
1932,preeti
1933,sanju
1934,garima
1935,pooja
1936,ashra
1937,shabana
1938,anjum
1939,anuradha
1940,aarti
1941,reena
1942,smt
1943,arzoo
1944,shiva
1945,sapna
1946,huseni
1947,sonu
1948,smt.sehran
1949,kajal
1950,niru
1951,maya
1952,khusboo
1953,raveena
1954,rachna
1955,rinesh
1956,meenu
1957,kumari
1958,harmit
1959,reena
1960,pooja
1961,geeta
1962,meena
1963,rena
1964,preeti
1965,manisha
1966,aanchal
1967,kajal
1968,madhuni
1969,kanchan
1970,kumari
1971,nargis
1972,smt.
1973,ku.
1974,suman
1975,anju
1976,sonia
1977,sunita
1978,nitasha
1979,antim
1980,bharti
1981,kajal
1982,divya
1983,sushila
1984,ganga
1985,madhu
1986,neha
1987,bharti
1988,neetu
1989,rakhi
1990,komal
1991,pinki
1992,aarti
1993,rihana
1994,manisha
1995,juhi
1996,madhuri
1997,amina
1998,pooja
1999,kumari
2000,manisha
2001,manka
2002,manni
2003,priyanka
2004,radhika
2005,jyoti
2006,pinki
2007,radha
2008,sushma
2009,laxmi
2010,anita
2011,amasi
2012,sandhya
2013,lata
2014,chandani
2015,tanushri
2016,sapna
2017,komal
2018,santosh
2019,babli
2020,maya
2021,khushbu
2022,seema
2023,rani
2024,ramwati
2025,bakila
2026,juna
2027,namita
2028,roshni
2029,heena
2030,poonam
2031,soniya
2032,laxmi
2033,neelam
2034,urwashi
2035,khushboo
2036,lisha
2037,rinki
2038,mamta
2039,madhu
2040,neeru
2041,satwanti
2042,neetu
2043,archana
2044,kajal
2045,savita
2046,archana
2047,shanu
2048,neelam
2049,seema
2050,namra
2051,aasma
2052,dev
2053,munni
2054,kanta
2055,seeta
2056,twinkal
2057,doli
2058,vakila
2059,jyoti
2060,rani
2061,saneha
2062,rajani
2063,arti
2064,harprit
2065,nisha
2066,gaytri
2067,ruchi
2068,komal
2069,kumari
2070,preety
2071,rani
2072,rubina
2073,smt
2074,pooja
2075,pooja
2076,bhavna
2077,birmadevi
2078,simran
2079,laxmi
2080,sufia
2081,sapna
2082,barkha
2083,sonali
2084,renu
2085,chahat
2086,sita
2087,krishma
2088,muli
2089,roshan
2090,heena
2091,jyoti
2092,lalita
2093,firdosh
2094,soona
2095,smt
2096,renu
2097,kumari
2098,smt
2099,premlata
2100,sheetal
2101,manormapal
2102,kismat/
2103,suman
2104,priti
2105,sangeeta
2106,sangeeta
2107,megha
2108,mahak
2109,alapna
2110,rekha
2111,rekha
2112,parveen
2113,goldy
2114,mohini
2115,rajni
2116,mala
2117,arti
2118,kavita
2119,rubi
2120,sehnaj
2121,alseepa
2122,anita
2123,jafrin
2124,leela
2125,diksha
2126,ram
2127,kavita
2128,vandana
2129,hema
2130,aashiya
2131,laxmi
2132,diksha
2133,anjana
2134,vinita
2135,mariyam
2136,anju
2137,najrin
2138,sitara
2139,chand
2140,darkash
2141,noor
2142,manju
